Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C3,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,63.5,-83.1,180.0,top
C4,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,76.9,-71.6,0.0,top
C5,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,76.9,-78.0,0.0,top
C6,6.8nF_C0G,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,63.5,-90.2,0.0,top
C7,6.8nF_C0G,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,63.5,-88.4,0.0,top
C8,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,63.5,-69.5,180.0,top
C10,100pF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,76.9,-97.4,0.0,top
C11,10nF_C0G,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,56.7,-93.0,180.0,top
C12,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,76.9,-88.4,180.0,top
C13,3.3nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,63.5,-104.5,180.0,top
C14,6.8nF_C0G,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,76.9,-109.9,0.0,top
C15,6.8nF_C0G,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,76.9,-111.7,0.0,top
C16,6.8nF_C0G,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,63.5,-109.9,180.0,top
C18,100pF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,63.5,-100.9,180.0,top
C19,10nF_C0G,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,83.6,-105.8,180.0,top
C20,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,63.5,-111.7,0.0,top
C21,3.3nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,76.9,-123.3,0.0,top
C22,6.8nF_C0G,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,63.5,-119.7,0.0,top
C23,6.8nF_C0G,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,63.5,-117.9,0.0,top
C24,6.8nF_C0G,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,76.9,-119.7,0.0,top
C26,100pF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,76.9,-126.8,0.0,top
C27,10nF_C0G,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,56.7,-122.5,180.0,top
C28,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,76.9,-117.9,180.0,top
C29,3.3nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,63.5,-134.0,180.0,top
C30,6.8nF_C0G,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,76.9,-139.4,0.0,top
C31,6.8nF_C0G,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,76.9,-141.2,0.0,top
C32,6.8nF_C0G,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,63.5,-139.4,180.0,top
C34,100pF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,63.5,-130.4,180.0,top
C35,10nF_C0G,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,83.6,-135.3,180.0,top
C36,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,63.5,-141.2,0.0,top
C37,3.3nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,76.9,-93.8,0.0,top
C38,6.8nF_C0G,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,76.9,-90.2,0.0,top
C39,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,76.9,-100.9,0.0,top
C40,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,63.5,-93.8,180.0,top
C41,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,76.9,-130.4,0.0,top
C42,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,76.9,-106.3,0.0,top
C43,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,63.5,-99.2,180.0,top
C44,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,63.5,-123.3,180.0,top
C45,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,63.5,-128.7,180.0,top
C46,1uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,76.9,-135.8,0.0,top
C47,10uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,76.9,-79.7,180.0,top
C48,10uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,63.5,-76.3,0.0,top
C49,10uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,76.9,-86.5,180.0,top
C50,10uF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,63.5,-81.4,180.0,top
D1,1N5819,D_SOD-123,88.6,-55.4,90.0,top
D2,1N5819,D_SOD-123,51.8,-55.4,-90.0,top
R2,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,76.9,-81.4,0.0,top
R3,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,63.5,-78.0,180.0,top
R4,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,76.9,-83.1,0.0,top
R5,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,63.5,-79.7,180.0,top
R6,4.7k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,76.9,-84.8,0.0,top
R7,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,76.9,-73.3,0.0,top
R8,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,76.9,-69.9,0.0,top
R9,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,63.5,-67.8,180.0,top
R10,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,63.5,-71.2,180.0,top
R11,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,76.9,-75.0,0.0,top
R12,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,76.9,-68.2,0.0,top
R13,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,63.5,-66.1,180.0,top
R14,10k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,63.5,-72.9,180.0,top
R15,68k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,83.6,-94.6,0.0,top
R16,200,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,76.9,-95.6,180.0,top
R17,200,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,83.6,-93.0,0.0,top
R18,100k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,56.7,-104.2,180.0,top
R19,220k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,56.7,-102.6,180.0,top
R20,100k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,56.7,-101.0,180.0,top
R21,160k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,56.7,-97.8,0.0,top
R22,100k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,63.5,-95.6,180.0,top
R23,1k,R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,56.7,-96.2,180.0,top
